Order,Name,Latitude,Longitude,Tags,Google Maps link,Description
1,Trishund Ganpati Temple,18.5216623,73.8618001,"Temple, Ancient Architecture",https://share.google/zHxOzrKEqOg4Vlk9W,"The Trishund Ganpati Temple, tucked into a narrow lane in Somwar Peth near Kamla Nehru Hospital, was built between 1754 and 1770 by Bhimgirji Gosavi, a Nath-lineage ascetic who settled in Pune from Dhampur near Indore and personally funded its construction across sixteen years. Carved entirely from black basalt in a style blending Rajasthani, Malwa and Dravidian influences and consciously echoing the rock-cut cave temples of Ellora, it enshrines Trishund Mayureshwar Ganapati — a singular form of Ganesha with three trunks, six arms and a peacock mount, found nowhere else in Maharashtra. The temple stood forgotten for decades after Gosavi's death until a Pune devotee, Yashwant Anant More, rediscovered and restored it in 1951. Today it is a PMC Heritage Grade I structure, one of the finest surviving examples of late Peshwa-era stone carving in the city."
2,Shrimant Bhausaheb Rangari Ganpati,18.5175599,73.858037,Temple,https://www.google.com/maps/search/?api=1&query=Shrimant%20Bhausaheb%20Rangari%20Ganpati%2C%20Budhwar%20Peth%2C%20Pune,"This mandal holds a landmark place in Indian history as the very first sarvajanik, or public, Ganeshotsav, established in 1892 by Bhausaheb Laxman Javale — a physician and freedom fighter known as ""Rangari"" after his family's traditional cloth-dyeing trade. A year before Lokmanya Tilak popularised the community festival citywide, Rangari had already installed a public Ganesh idol here as a deliberate act of unity against British rule, and his wada doubled as a meeting point for revolutionaries plotting against the colonial government."
3,Tambadi Jogeshwari Ganpati (Manacha Dusra Ganpati),18.5175599,73.858037,"Temple, Manache Ganpati",https://www.google.com/maps/search/?api=1&query=Tambdi%20Jogeshwari%20Temple%2C%20Budhwar%20Peth%2C%20Pune,"In 1545, devotee Trimbak Bendre discovered a self-manifested (swayambhu) idol of Goddess Jogeshwari near the Ambil Odha stream and built a shrine that came to mark Pune's southern boundary — making this one of the city's oldest temples, predating the city's Peshwa-era growth. Revered as the gram daivat (guardian village deity) of old Kasba Peth, it is said Chhatrapati Shivaji Maharaj sought its blessings before Deccan campaigns. In 1893, Lokmanya Tilak designated the Ganpati installed here as the second of Pune's five Manache Ganpati, honouring this deep-rooted guardian status."
4,Tambat Aali (Coppersmith Lane),18.5190304,73.8572406,Historical Site,https://www.google.com/maps/search/?api=1&query=Tambat%20Aali%2C%20Kasba%20Peth%2C%20Pune,"Tambat Aali, literally ""Coppersmith Lane,"" is a narrow stretch in Kasba Peth that has been home to Pune's community of tambats, or coppersmiths, for around 250-300 years. Most families trace their arrival to the Peshwa era, when artisans and traders were invited to settle in Kasba Peth to serve the new Maratha capital, and Tambats supplied everything from copper coinage to kitchenware and ceremonial vessels for the royal household. Workshops here are called bakhals, combining living quarters and workspace, and the craft has been handed down across roughly seven generations."
5,Kasba Ganpati,18.5190304,73.8572406,"Temple, Manache Ganpati",https://www.google.com/maps/search/?api=1&query=Grama%20Devata%20Sri%20Kasba%20Ganpati%20Mandir%20Devasthan%2C%20Kasba%20Peth%2C%20Pune,"Kasba Ganpati holds the singular honour of being Pune's gram devata — the city's presiding deity — and the very first of the city's Manache Ganpati, the five most revered Ganesh mandals accorded ceremonial precedence during the festival. The story goes back to the 1630s, when Jijabai, mother of Shivaji Maharaj, arrived in Pune with her young son and heard that local shepherd boys had found and begun worshipping a naturally Ganesh-shaped stone; moved by their devotion, she commissioned a proper temple around it. That royal patronage cemented the temple's status at the very heart of the city's civic and religious life."
6,Lal Mahal,18.5185056,73.8566732,"Historical Site, Modern Architecture",https://www.google.com/maps/search/?api=1&query=Lal%20Mahal%2C%20Kasba%20Peth%2C%20Pune,"Lal Mahal, the ""Red Palace,"" was built around 1630-40 by Shahaji Bhosale for his wife Jijabai and young son Shivaji, and it was here that the future founder of the Maratha Empire spent much of his childhood and received his early education in statecraft and warfare. The original structure fell into ruin over the centuries; the building seen today is a reconstruction completed by the Pune Municipal Corporation in 1988 on the same site. It now functions as a memorial and small museum to Shivaji's early life."
7,Nana Wada,18.5183964,73.8563078,"Historical Site, Ancient Architecture",https://www.google.com/maps/search/?api=1&query=Nana%20Wada%2C%20Budhwar%20Peth%2C%20Pune,"Nana Wada was built around 1780 as the grand residence of Nana Phadnavis, the shrewd statesman who served as the Peshwas' chief administrator and effectively ran Maratha foreign policy and finances during a turbulent period for the empire. Spread across some 20,000 square feet and built largely in teak, it is one of the finest surviving examples of Peshwa-era wada architecture. In 1907 part of the building was converted into the New English School by the Deccan Education Society, and the complex today combines a working school with Pune Municipal Corporation offices."
8,Mahatma Jyotiba Phule Mandai,18.5129178,73.8562952,"Historical Site, Ancient Architecture",https://www.google.com/maps/search/?api=1&query=Mahatma%20Phule%20Mandai%2C%20Shukrawar%20Peth%2C%20Pune,"This Victorian Gothic market hall was built by the Poona Municipality between 1882 and 1886 and opened as 'Reay Market', after the Bombay Presidency governor Lord Reay, with the design credited to WM Ducat and executed by local architects Vasudev Kanitkar and Ramchandra Godbole. In 1938, corporator Acharya Atre renamed it Mahatma Phule Mandai to honour social reformer Jyotirao Phule. For nearly a century it was Pune's principal wholesale produce market, until wholesale trade shifted to Gultekdi in the late 1970s; it still runs as a lively retail market and is a PMC Heritage Grade I structure."
9,Shri Sharada Ganesh Mandir (Mandai Ganpati),18.5129178,73.8562952,Temple,https://www.google.com/maps/search/?api=1&query=Sharada%20Ganesh%20Mandir%20Mandai%20Ganpati%2C%20Shukrawar%20Peth%2C%20Pune,"Also known as the Akhil Mandai Mandal, this shrine was established on 14 September 1894 by wrestler Nathuram Dongre inside the Mahatma Phule Mandai market building in Shukrawar Peth, barely a year after Lokmanya Tilak launched the Sarvajanik Ganeshotsav movement. Its centrepiece is an idol of Shri Sharada Gajanan — Ganesha paired with Goddess Sharada — worshipped as protector of the market and its traders, tying the mandal permanently to the commercial life of the Mandai around it."
10,Shrimant Dagdusheth Halwai Ganpati Mandir,18.5164306,73.8561092,"Temple, Modern Architecture",https://www.google.com/maps/search/?api=1&query=Dagdusheth%20Halwai%20Ganpati%20Mandir%2C%20Budhwar%20Peth%2C%20Pune,"Established in 1893 by sweetmaker Dagdusheth Halwai and his wife Lakshmibai after they lost their only son to a plague epidemic, this shrine began as a private Ganesha idol installed in grief and devotion at their home. Neighbours drawn to their sincerity turned it into a community celebration, and Lokmanya Tilak's push to make Ganeshotsav a public festival for the freedom struggle amplified its stature. Today it is one of India's richest and most-visited Ganpati temples, run by the Dagdusheth Halwai Sarvajanik Ganpati Trust, which also funds education, healthcare and microfinance for the underprivileged."
